Restaurant_Name,URL,Is_Local_Guide,Total_User_Reviews,Rating,Date,Review_Original,Service_Option,Meal_Type,Price_Range,Noise_Level,Crowd_Size,Score_Food,Score_Service,Score_Atmosphere,Recommended_Dishes,Parking_Options,Vegetarian_Options,Kid_Friendliness,Wheelchair_Access,Dietary_Restrictions
ข้าวผัดพ่นไฟ,"https://www.google.com/maps/place/%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%9C%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B9%88%E0%B8%99%E0%B9%84%E0%B8%9F/@18.7951134,98.9632092,19z/data=!4m8!3m7!1s0x30da3bd2bc6bc6a9:0xaee3904e4cc92d9d!8m2!3d18.7951134!4d98.9632092!9m1!1b1!16s%2Fg%2F11mkqmcr7t?hl=en&entry=ttu&g_ep=EgoyMDI2MDIwOS4wIKXMDSoASAFQAw%3D%3D",1,201,5,a month ago,Local taste for local warning hot!! and spcicy. Comfort food but for local all in all good!,,,,,,5,5,5,,,,,,
ข้าวผัดพ่นไฟ,"https://www.google.com/maps/place/%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%9C%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B9%88%E0%B8%99%E0%B9%84%E0%B8%9F/@18.7951134,98.9632092,19z/data=!4m8!3m7!1s0x30da3bd2bc6bc6a9:0xaee3904e4cc92d9d!8m2!3d18.7951134!4d98.9632092!9m1!1b1!16s%2Fg%2F11mkqmcr7t?hl=en&entry=ttu&g_ep=EgoyMDI2MDIwOS4wIKXMDSoASAFQAw%3D%3D",0,5,5,a month ago,อร่อยดีค่ะ เมนูน่าสนใจ,Dine in,,฿1-200,,,,,,,,,,,
ข้าวผัดพ่นไฟ,"https://www.google.com/maps/place/%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%9C%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B9%88%E0%B8%99%E0%B9%84%E0%B8%9F/@18.7951134,98.9632092,19z/data=!4m8!3m7!1s0x30da3bd2bc6bc6a9:0xaee3904e4cc92d9d!8m2!3d18.7951134!4d98.9632092!9m1!1b1!16s%2Fg%2F11mkqmcr7t?hl=en&entry=ttu&g_ep=EgoyMDI2MDIwOS4wIKXMDSoASAFQAw%3D%3D",0,1,5,2 months ago,ข้าวแข็งไปนิดหน่อย😁 อร่อยโดยรวมแล้วโอเคค่ะ👍🏻,,,฿1-200,,,5,5,5,,,,,,
ข้าวผัดพ่นไฟ,"https://www.google.com/maps/place/%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%9C%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B9%88%E0%B8%99%E0%B9%84%E0%B8%9F/@18.7951134,98.9632092,19z/data=!4m8!3m7!1s0x30da3bd2bc6bc6a9:0xaee3904e4cc92d9d!8m2!3d18.7951134!4d98.9632092!9m1!1b1!16s%2Fg%2F11mkqmcr7t?hl=en&entry=ttu&g_ep=EgoyMDI2MDIwOS4wIKXMDSoASAFQAw%3D%3D",1,12,5,2 months ago,รสชาติอร่อยมากค่ะ ขอไข่ดาวกรอบๆ ก็ได้กรอบเลย เมนูหลากหลาย คราวหน้าจะไปลองเมนูอื่นค่า,,,,,,5,5,5,,,,,,
ข้าวผัดพ่นไฟ,"https://www.google.com/maps/place/%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%9C%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B9%88%E0%B8%99%E0%B9%84%E0%B8%9F/@18.7951134,98.9632092,19z/data=!4m8!3m7!1s0x30da3bd2bc6bc6a9:0xaee3904e4cc92d9d!8m2!3d18.7951134!4d98.9632092!9m1!1b1!16s%2Fg%2F11mkqmcr7t?hl=en&entry=ttu&g_ep=EgoyMDI2MDIwOS4wIKXMDSoASAFQAw%3D%3D",0,2,5,2 months ago,ข้าวผัดคั่วพริกเกลือหอมกลิ่นกะทะ อร่อยมากกกก 🥳,Dine in,Lunch,฿1-200,,,,,,,,,,,
ข้าวผัดพ่นไฟ,"https://www.google.com/maps/place/%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%9C%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B9%88%E0%B8%99%E0%B9%84%E0%B8%9F/@18.7951134,98.9632092,19z/data=!4m8!3m7!1s0x30da3bd2bc6bc6a9:0xaee3904e4cc92d9d!8m2!3d18.7951134!4d98.9632092!9m1!1b1!16s%2Fg%2F11mkqmcr7t?hl=en&entry=ttu&g_ep=EgoyMDI2MDIwOS4wIKXMDSoASAFQAw%3D%3D",1,6,3,a month ago,"ข้อดี
ข้าวเรียงเม็ดสวย ไม่แฉะ
รสชาติกะเพราดีมาก อร่อยมาก
ร้านสะอาด มีแอร์เย็นสบาย
พนักงานต้อนรับดีมาก

ความเห็นส่วนตัว
ภาพในออเดอร์ที่สั่งมีไข่ดาวอยู่ในภาพ
แต่ความจริงต้องเพิ่มไข่ดาวเองอีก 10 บาท
ควรนำไข่ดาวออกจากเมนู จะได้ไม่สับสน

ส่วนตัวว่าปริมาณได้น้อยไป ถ้าเทียบกับราคา
(กะเพราไก่กรอบก็ไม่มีใบกะเพราทอดที่วางอยู่บนข้าวตามในภาพ ไข่ดาวก็ทอดไม่เหมือนในภาพ ของจริงทอดในกระทะหลุมกลม)
พริกน้ำปลาก็มีพริกน้อยมากแถมยังไม่มีอยู่ประจำโต๊ะอีก  ต้องยกจานที่เสริฟไปตักเองที่จุดบริการ
ทิชชู่ก็ไม่มีที่โต๊ะ ช้อนและส้อมต้องไปหยิบเอง",,,฿1-200,"Quiet, easy to talk",,3,3,4,,,,,,
ข้าวผัดพ่นไฟ,"https://www.google.com/maps/place/%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%9C%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B9%88%E0%B8%99%E0%B9%84%E0%B8%9F/@18.7951134,98.9632092,19z/data=!4m8!3m7!1s0x30da3bd2bc6bc6a9:0xaee3904e4cc92d9d!8m2!3d18.7951134!4d98.9632092!9m1!1b1!16s%2Fg%2F11mkqmcr7t?hl=en&entry=ttu&g_ep=EgoyMDI2MDIwOS4wIKXMDSoASAFQAw%3D%3D",1,11,5,2 months ago,อาหารอร่อย กะเพราเนื้อสับนัวมาก มีห้องแอร์ให้นั่งเย็นๆ,,,,,,5,5,5,,,,,,
ข้าวผัดพ่นไฟ,"https://www.google.com/maps/place/%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%9C%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B9%88%E0%B8%99%E0%B9%84%E0%B8%9F/@18.7951134,98.9632092,19z/data=!4m8!3m7!1s0x30da3bd2bc6bc6a9:0xaee3904e4cc92d9d!8m2!3d18.7951134!4d98.9632092!9m1!1b1!16s%2Fg%2F11mkqmcr7t?hl=en&entry=ttu&g_ep=EgoyMDI2MDIwOS4wIKXMDSoASAFQAw%3D%3D",0,9,5,a month ago,ข้าวผัดสับปะรดที่ถูกต้องค่า แต่ขาดอย่างนึงคือลูกเกด 555555 รสชาติดีนะคะ,,,,,,,,,,,,,,
ข้าวผัดพ่นไฟ,"https://www.google.com/maps/place/%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%9C%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B9%88%E0%B8%99%E0%B9%84%E0%B8%9F/@18.7951134,98.9632092,19z/data=!4m8!3m7!1s0x30da3bd2bc6bc6a9:0xaee3904e4cc92d9d!8m2!3d18.7951134!4d98.9632092!9m1!1b1!16s%2Fg%2F11mkqmcr7t?hl=en&entry=ttu&g_ep=EgoyMDI2MDIwOS4wIKXMDSoASAFQAw%3D%3D",1,37,5,2 months ago,อาหารอร่อย  รสชาติดี มีซุปแถม ห้องแอร์,,,,,,5,5,5,,,,,,
ข้าวผัดพ่นไฟ,"https://www.google.com/maps/place/%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%9C%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B9%88%E0%B8%99%E0%B9%84%E0%B8%9F/@18.7951134,98.9632092,19z/data=!4m8!3m7!1s0x30da3bd2bc6bc6a9:0xaee3904e4cc92d9d!8m2!3d18.7951134!4d98.9632092!9m1!1b1!16s%2Fg%2F11mkqmcr7t?hl=en&entry=ttu&g_ep=EgoyMDI2MDIwOS4wIKXMDSoASAFQAw%3D%3D",0,1,5,2 months ago,"กะเพราะหมูกรอบ มาม่าไก่กรอบ อร่อยมากค่ะ
ห้องแอร์เย็นสบาย",Dine in,Lunch,฿1-200,,,5,5,5,,,,,,
ข้าวผัดพ่นไฟ,"https://www.google.com/maps/place/%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%9C%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B9%88%E0%B8%99%E0%B9%84%E0%B8%9F/@18.7951134,98.9632092,19z/data=!4m8!3m7!1s0x30da3bd2bc6bc6a9:0xaee3904e4cc92d9d!8m2!3d18.7951134!4d98.9632092!9m1!1b1!16s%2Fg%2F11mkqmcr7t?hl=en&entry=ttu&g_ep=EgoyMDI2MDIwOS4wIKXMDSoASAFQAw%3D%3D",1,84,5,2 months ago,ข้าวผัดของจริงเม็ดร่วนไม่แฉะ เม็ดเด้ง ๆ อร่อย,,Brunch,฿1-200,,,5,5,5,,,,,,
ข้าวผัดพ่นไฟ,"https://www.google.com/maps/place/%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%9C%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B9%88%E0%B8%99%E0%B9%84%E0%B8%9F/@18.7951134,98.9632092,19z/data=!4m8!3m7!1s0x30da3bd2bc6bc6a9:0xaee3904e4cc92d9d!8m2!3d18.7951134!4d98.9632092!9m1!1b1!16s%2Fg%2F11mkqmcr7t?hl=en&entry=ttu&g_ep=EgoyMDI2MDIwOS4wIKXMDSoASAFQAw%3D%3D",0,2,5,2 months ago,ร้านเล็กๆน่ารักมาก ราคาไม่แพง เคยมากินแล้วรอบนึง ชอบเมนูข้าวไข่ข้น,,,฿1-200,"Quiet, easy to talk",,5,5,5,,,,,,
ข้าวผัดพ่นไฟ,"https://www.google.com/maps/place/%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%9C%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B9%88%E0%B8%99%E0%B9%84%E0%B8%9F/@18.7951134,98.9632092,19z/data=!4m8!3m7!1s0x30da3bd2bc6bc6a9:0xaee3904e4cc92d9d!8m2!3d18.7951134!4d98.9632092!9m1!1b1!16s%2Fg%2F11mkqmcr7t?hl=en&entry=ttu&g_ep=EgoyMDI2MDIwOS4wIKXMDSoASAFQAw%3D%3D",0,4,5,2 months ago,อร่อย ราคาดี มาตำอีกแน่นอนค่ะ,,,฿1-200,,,5,5,5,,,,,,
ข้าวผัดพ่นไฟ,"https://www.google.com/maps/place/%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%9C%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B9%88%E0%B8%99%E0%B9%84%E0%B8%9F/@18.7951134,98.9632092,19z/data=!4m8!3m7!1s0x30da3bd2bc6bc6a9:0xaee3904e4cc92d9d!8m2!3d18.7951134!4d98.9632092!9m1!1b1!16s%2Fg%2F11mkqmcr7t?hl=en&entry=ttu&g_ep=EgoyMDI2MDIwOS4wIKXMDSoASAFQAw%3D%3D",1,10,5,a month ago,กระเพรารสชาติที่ถูกต้อง อร่อยมากครับ,,Lunch,฿1-200,,,5,5,5,,,,,,
ข้าวผัดพ่นไฟ,"https://www.google.com/maps/place/%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%9C%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B9%88%E0%B8%99%E0%B9%84%E0%B8%9F/@18.7951134,98.9632092,19z/data=!4m8!3m7!1s0x30da3bd2bc6bc6a9:0xaee3904e4cc92d9d!8m2!3d18.7951134!4d98.9632092!9m1!1b1!16s%2Fg%2F11mkqmcr7t?hl=en&entry=ttu&g_ep=EgoyMDI2MDIwOS4wIKXMDSoASAFQAw%3D%3D",0,2,5,2 months ago,อร่อยมากครับ บรรยากาศดี พนักงานพูดจาดีมากครับ,,,,,,5,5,5,,,,,,
ข้าวผัดพ่นไฟ,"https://www.google.com/maps/place/%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%9C%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B9%88%E0%B8%99%E0%B9%84%E0%B8%9F/@18.7951134,98.9632092,19z/data=!4m8!3m7!1s0x30da3bd2bc6bc6a9:0xaee3904e4cc92d9d!8m2!3d18.7951134!4d98.9632092!9m1!1b1!16s%2Fg%2F11mkqmcr7t?hl=en&entry=ttu&g_ep=EgoyMDI2MDIwOS4wIKXMDSoASAFQAw%3D%3D",1,33,5,2 months ago,"The food is quite unique and tasty, the interior is pretty clean.

There are many options to choose from Pad-Krapow, Fried rice or Stir-fry noodles with fun twist and toppings!

I tried the Tom-yum canned fish and it's delicous.

Overall a unique fried rice shop!",Dine in,Lunch,฿1-200,,,5,4,5,,Free street parking,,,,
ข้าวผัดพ่นไฟ,"https://www.google.com/maps/place/%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%9C%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B9%88%E0%B8%99%E0%B9%84%E0%B8%9F/@18.7951134,98.9632092,19z/data=!4m8!3m7!1s0x30da3bd2bc6bc6a9:0xaee3904e4cc92d9d!8m2!3d18.7951134!4d98.9632092!9m1!1b1!16s%2Fg%2F11mkqmcr7t?hl=en&entry=ttu&g_ep=EgoyMDI2MDIwOS4wIKXMDSoASAFQAw%3D%3D",0,1,5,2 months ago,บรรยากาศร้านดี เดินทางสะดวกใกล้นิมมาน อาหารอร่อยม๊ากกกกก พนักงานพูดจาน่ารัก,Dine in,,,,,5,5,5,,,,,,
ข้าวผัดพ่นไฟ,"https://www.google.com/maps/place/%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%9C%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B9%88%E0%B8%99%E0%B9%84%E0%B8%9F/@18.7951134,98.9632092,19z/data=!4m8!3m7!1s0x30da3bd2bc6bc6a9:0xaee3904e4cc92d9d!8m2!3d18.7951134!4d98.9632092!9m1!1b1!16s%2Fg%2F11mkqmcr7t?hl=en&entry=ttu&g_ep=EgoyMDI2MDIwOS4wIKXMDSoASAFQAw%3D%3D",0,1,5,4 weeks ago,สั่งข้าวผัดสับปะรด ข้าวผัดต้มยำทะเล อร่อยมากค่ะ,Dine in,Lunch,฿200-400,"Quiet, easy to talk",,5,5,5,,,,,,
ข้าวผัดพ่นไฟ,"https://www.google.com/maps/place/%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%9C%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B9%88%E0%B8%99%E0%B9%84%E0%B8%9F/@18.7951134,98.9632092,19z/data=!4m8!3m7!1s0x30da3bd2bc6bc6a9:0xaee3904e4cc92d9d!8m2!3d18.7951134!4d98.9632092!9m1!1b1!16s%2Fg%2F11mkqmcr7t?hl=en&entry=ttu&g_ep=EgoyMDI2MDIwOS4wIKXMDSoASAFQAw%3D%3D",0,1,5,2 months ago,"While passing by a small shop on the street, I noticed that the interior decoration was very clean and bright. The pineapple rice was highly praised!",,,,Very quiet,,5,5,5,,,There is pineapple rice.,,,
ข้าวผัดพ่นไฟ,"https://www.google.com/maps/place/%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%9C%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B9%88%E0%B8%99%E0%B9%84%E0%B8%9F/@18.7951134,98.9632092,19z/data=!4m8!3m7!1s0x30da3bd2bc6bc6a9:0xaee3904e4cc92d9d!8m2!3d18.7951134!4d98.9632092!9m1!1b1!16s%2Fg%2F11mkqmcr7t?hl=en&entry=ttu&g_ep=EgoyMDI2MDIwOS4wIKXMDSoASAFQAw%3D%3D",1,4,5,a month ago,อาหารอร่อยมากเลยค่ะ,,,,,,5,5,5,,,,,,
ข้าวผัดพ่นไฟ,"https://www.google.com/maps/place/%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%9C%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B9%88%E0%B8%99%E0%B9%84%E0%B8%9F/@18.7951134,98.9632092,19z/data=!4m8!3m7!1s0x30da3bd2bc6bc6a9:0xaee3904e4cc92d9d!8m2!3d18.7951134!4d98.9632092!9m1!1b1!16s%2Fg%2F11mkqmcr7t?hl=en&entry=ttu&g_ep=EgoyMDI2MDIwOS4wIKXMDSoASAFQAw%3D%3D",0,3,5,2 months ago,ข้าวผัดอร่อยเริ่ด มาแบบร้อนๆเลยจ้า,,,,,,,,,,,,,,
ข้าวผัดพ่นไฟ,"https://www.google.com/maps/place/%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%9C%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B9%88%E0%B8%99%E0%B9%84%E0%B8%9F/@18.7951134,98.9632092,19z/data=!4m8!3m7!1s0x30da3bd2bc6bc6a9:0xaee3904e4cc92d9d!8m2!3d18.7951134!4d98.9632092!9m1!1b1!16s%2Fg%2F11mkqmcr7t?hl=en&entry=ttu&g_ep=EgoyMDI2MDIwOS4wIKXMDSoASAFQAw%3D%3D",0,3,5,a month ago,ไก่กรอบอร่อยมากครับ,,,,,,5,5,5,,,,,,
ข้าวผัดพ่นไฟ,"https://www.google.com/maps/place/%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%9C%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B9%88%E0%B8%99%E0%B9%84%E0%B8%9F/@18.7951134,98.9632092,19z/data=!4m8!3m7!1s0x30da3bd2bc6bc6a9:0xaee3904e4cc92d9d!8m2!3d18.7951134!4d98.9632092!9m1!1b1!16s%2Fg%2F11mkqmcr7t?hl=en&entry=ttu&g_ep=EgoyMDI2MDIwOS4wIKXMDSoASAFQAw%3D%3D",0,7,5,2 months ago,ข้าวกะเพราไก่กรอบอร่อยดี​ ไก่กรอบกรอบอร่อย​ บรรยากาศดี​ มีแอร์​ ราคาคุ้มค่า,Dine in,Dinner,฿1-200,,,5,5,5,,,,,,
ข้าวผัดพ่นไฟ,"https://www.google.com/maps/place/%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%9C%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B9%88%E0%B8%99%E0%B9%84%E0%B8%9F/@18.7951134,98.9632092,19z/data=!4m8!3m7!1s0x30da3bd2bc6bc6a9:0xaee3904e4cc92d9d!8m2!3d18.7951134!4d98.9632092!9m1!1b1!16s%2Fg%2F11mkqmcr7t?hl=en&entry=ttu&g_ep=EgoyMDI2MDIwOS4wIKXMDSoASAFQAw%3D%3D",0,10,5,2 months ago,Nice buffet with fresh food in good price,,,,,,5,5,5,,,,,,
