Restaurant_Name,Total_Reviews,Price_Level,Avg_Rating,NASS_FOOD,NASS_SERVICE,NASS_ATMOS,NASS_PRICE
ตะวันแดง มหาซน เชียงใหม่,60,6.0,4.24,63.3,53.6,83.7,50.0
ต๋องเต็มโต๊ะ,256,,4.09,61.7,39.4,34.4,89.2
ทองสมิทธ์,54,2.0,4.56,79.6,95.5,76.0,-23.5
นายเพทาย หมูทอด-ไก่ทอด,132,1.0,4.72,87.1,73.7,41.3,91.6
นินจา ราเมง,204,2.0,4.32,70.1,52.5,32.8,82.4
น้องบีอาหารเมียนมา,279,1.0,4.63,79.2,48.0,8.8,86.7
พ๊อตโตะ,157,1.0,4.6,66.9,55.6,84.1,84.4
ภัตตาคารเจี่ยท้งเฮง สาขาวัน นิมมาน,180,3.0,4.47,66.1,69.6,82.5,63.5
มหาลาบ นครเชียงใหม่,192,1.0,4.1,56.2,23.4,18.3,94.8
มานิเฟรชโต้,70,,4.5,95.7,90.3,100.0,80.0
ร้านก๋วยเตี๋ยวป้าเกี๋ยง,190,1.0,4.89,94.2,100.0,66.1,98.3
ร้านอร่อยดี Aroi Dee,321,1.0,4.41,77.9,84.6,77.5,90.3
ร้านอาหารเกาหลีมิโซเน่เชียงใหม่,9,,0.0,0.0,33.3,-100.0,100.0
ร้านเขียวไข่กา เชียงใหม่ วัน นิมมาน,178,2.0,3.78,35.4,25.3,45.6,-22.2
ร้านเนื้อตุ๋นรสเยี่ยม นิมมาน ซอย 11,165,1.0,4.0,58.2,37.5,-26.9,-28.3
ร้านไก่ย่างวิเชียรบุรี (นิมมาน 11),10,,4.65,90.0,100.0,16.7,100.0
ลุงพัน อาหารตามสั่ง,93,1.0,4.75,94.6,93.0,61.5,100.0
สมาย คิชเช่น ร้านอาหารญี่ปุน,173,2.0,4.7,93.6,62.5,80.3,92.7
อร่อยจุ่มแซบ,112,1.0,4.2,58.9,31.6,19.4,75.3
อังเคิลคานิ,184,2.0,4.6,81.0,50.0,82.0,68.9
อาหารจีนเสฉวน???????(guosetianxiang Chinese food),123,2.0,4.58,79.7,93.5,88.9,60.9
ฮันกัง,127,2.0,4.32,56.7,75.6,30.0,48.1
เซียะ ก๋วยเตี๋ยวปลา,184,1.0,4.44,63.6,52.8,82.7,63.4
เดอะ สลัด คอนเซ็ปท์,543,2.0,4.54,70.9,23.6,68.9,52.4
เตี๋ยวยำโบราณ,105,1.0,4.82,87.6,89.2,75.0,90.6
เหย์ เหย์ ฮอทพอทหม่าล่า สาขาหมู 333,111,1.0,4.12,71.2,17.0,-14.3,46.7
เฮือนเพ็ญ นิมมานเหมินทร์,726,,4.58,43.0,-9.4,37.9,49.0
แดน ข้าวมันไก่ บายแมก สาขาศิริมังคลาจารย์,181,1.0,4.66,84.0,86.0,77.5,98.6
แยงซีเกียง,232,6.0,4.22,69.4,13.5,10.8,5.0
โกปี๊ นิมมาน อาหารเช้า,177,1.0,3.42,33.3,-15.3,65.0,23.0
โค บี คิว,313,4.0,4.66,83.4,91.5,83.0,54.0
โบตั๋น อาหารญี่ปุ่น,190,1.0,4.55,87.9,76.5,10.9,94.8
ไก่ย่างเชิงดอย,306,2.0,4.3,61.1,8.1,32.7,63.7
