Restaurant_Name
86 Eighty Six Ramen
Always LOAF U Nimman Soi.17 (ออเวย์ โลฟ ยู)
Anchan Vegetarian Restaurant
Beast Burger and Pizza (Chiang Mai)
Beer Lab
Blackitch Artisan Kitchen (Reservation Only)
Botan Bar Nimman soi 5
Caravan Bar | Gin Specialists of Chiang Mai
Co&Co caf?
Eat@Rincome
Fresh Harvest Farm Chiang Mai
Go Green Caf? & Restaurant
Groon
Hong Tauw Inn
Kiwami Curry ??
Lavish Nimman
Living machine
Lonely Hearts Caf?
Lumi - Italian Restaurant
Maemot Boat Noodles
Molto Buono Pizza by Pizza Lady
Monday diner Grill & Korean Food
Nainoi Malatang นายน้อยหม่าล่าทัง
Newtown Nimman
October : Japanese Home Cooking
Panini&Co.
Rainy's Veggie Burgers
Real Good Pasta
S&A Beverages Nimman
SHELBY BAR
Skugga Estate - One Nimman Branch
Smoothie Blues
Sora Izakaya Japanese Food
Tai Kin Grand Sushi (Tanpark)
Thai Halal & Vegan มรกฎ More rar kot
The Sax Music House One Nimman
The happy frog
Uchi Japanese Gastro Chiang Mai
yesterday cafe'
ก๋วยจั๊บฟ้าธานี
ก๋วยเตี๋ยวเรือ อองตอง
ข้าวผัดพ่นไฟ
ข้าวมันไก่ โกยี
จงเฮง ก๋วยเตี๋ยวต้มยำ สาขานิมมาน ซอย 6
ชา ชา ชาบู สาขานิมมานเหมินทร์ ซอย11
ตะวันแดง มหาซน เชียงใหม่
ทองสมิทธ์
นายเพทาย หมูทอด-ไก่ทอด
นินจา ราเมง
น้องบีอาหารเมียนมา
พ๊อตโตะ
ภัตตาคารเจี่ยท้งเฮง สาขาวัน นิมมาน
มหาลาบ นครเชียงใหม่
ร้านก๋วยเตี๋ยวป้าเกี๋ยง
ร้านอร่อยดี Aroi Dee
ร้านเขียวไข่กา เชียงใหม่ วัน นิมมาน
ร้านเนื้อตุ๋นรสเยี่ยม นิมมาน ซอย 11
ลุงพัน อาหารตามสั่ง
สมาย คิชเช่น ร้านอาหารญี่ปุน
อร่อยจุ่มแซบ
อังเคิลคานิ
อาหารจีนเสฉวน???????(guosetianxiang Chinese food)
ฮันกัง
เซียะ ก๋วยเตี๋ยวปลา
เตี๋ยวยำโบราณ
เหย์ เหย์ ฮอทพอทหม่าล่า สาขาหมู 333
แดน ข้าวมันไก่ บายแมก สาขาศิริมังคลาจารย์
แยงซีเกียง
โกปี๊ นิมมาน อาหารเช้า
โค บี คิว
โบตั๋น อาหารญี่ปุ่น
ไก่ย่างเชิงดอย
