Restaurant_Name,Topic,Rating_Overall,Detail,Date_Written
Accha Authentic Indian Cuisine.,No Title,,"Nothing special at all. The food was ok but the portion size was an absolute joke. Especially taking into account the pricing. Honestly the combo I ordered had 2 or 3 small pieces of chicken in the curries. I love Indian food. I’ve eaten Indian all over the world, Michelin stared in London to street food in Goa. There is nothing special about this. There are much better Indian restaurants within walking distance from it. Check my pic. Have you ever seen smaller portions 🤣 Read less","July 14, 2022"
Accha Authentic Indian Cuisine.,No Title,,"... was excellent. The service was good and friendly, the food tasted great, and I especially loved the six little chutney dishes they put out on the table like condiments. All that stuff tasted great on the garlic naan I ordered. I also had something called the chicken banjara kebabs which was really moist and flavorful with some kind of spicy yogurt marinade on it. It tasted great as well on the naan with some of that chutney on it. What else, oh I had a papadum masala appetizer. It was served rolled-up into a cone, and you put the ""salad"" on yourself. Usually it comes kind of flat with the stuff piled on it. I think that this is a better way of eating it. Price was like real reasonable as well. When I want to eat Indian food again I don't see a reason to go take a chance with someplace else when I know what a solid place this one is. Read less","June 4, 2022"
Accha Authentic Indian Cuisine.,No Title,,"We thought the food was quite tasty. Very extensive menu. Almost too much selection, which made deciding what to order difficult! I like that the restaurant is open until 9:30pm, as many restaurants close much earlier. Vegetarian and non-vegetarian options. Highly recommended.","May 17, 2022"
Accha Authentic Indian Cuisine.,No Title,,"Ate here for the first time as a friend suggested it was popular. Waited ages to place an order. Place had a lot of customers on the night but only 2 or 3 staff on the floor. Food wasn’t cheap but also was nothing special. Have eaten at better Indian restaurants in Chiang Mai, and for less $. Wouldn’t eat here again.","April 15, 2022"
Accha Authentic Indian Cuisine.,No Title,,"Our friends took us to Accha as they had dined there twice before and thought it has authentic Indian cuisine. We agreed! The selections were those popular in India and vegans, vegetarians, and carnivores have choices of dishes. We shared samosas, mixed meat starters, mango lassis, and four different dishes, and naan breads. The mixed naan was so yummy. The biryani is exceptional, just like in Hyderabad! Our friends did not want dessert but we convinced them to try the kulfti ice cream. The subtle cardamon flavored ice cream sprinkled with pistachios and golden raisins was memorable. The staff were friendly and not angry that we stayed past closing time. The decor is charming. Toilets clean. The tables have Indian bells you ring for service. The evening was total enchantment! Read less","October 31, 2021"
Accha Authentic Indian Cuisine.,No Title,,"I've been to Accha twice now and I haven't been disappointed. The food is excellent and so is the service, the prices are very reasonable, more or less the same as any other Indian restaurant in Chiang Mai.","August 23, 2021"
Accha Authentic Indian Cuisine.,No Title,,"Staff forgot my roti despite being only 1 other table of 2 in the restaurant. Bland food, not spicy at all. Staff could not advise what is normally eaten with dahl, strange lack of knowledge of indian food. Did not ask preference of spicy/not spicy. Very expensive, rice 60 baht normally costs 10 or 20 in thai restaurants. Roti also double price. Dahl bucket had a high bottom to give illusion of more inside. Came here on recommendation, dont know why its recommended, will continue to go to the authentic indian on loi kroh road not at this fusion place that completely lacks atmosphere. Read less","August 2, 2020"
Accha Authentic Indian Cuisine.,No Title,,Everywhere I travel to I always try and get out to an Indian restaurant. This place was awesome for some well priced eats. The appetizers were tasty as was the main course. Would definitely recommend this place for anyone looking for Indian in Chiang Mai,"March 15, 2020"
Accha Authentic Indian Cuisine.,No Title,,"excellent taste for authentic Indian/veg/jain food, super excellenbt service, reasonably price, must for vega nd indian food.","February 19, 2020"
Accha Authentic Indian Cuisine.,No Title,,"Everything was excellent , The food was outstanding , The staff and service brilliant , Overall highly recommend .","February 15, 2020"
Accha Authentic Indian Cuisine.,No Title,,"I loved the service, atmosphere and food at Accha. The service was great. They were checking on you without being intrusive. If you asked for something, they did their best to accommodate. The food was delicious and brought back memories of my childhood in India. The atmosphere was cheerful and bright with beautiful surroundings.","February 12, 2020"
Accha Authentic Indian Cuisine.,No Title,,Absolutely amazing place. The food is delicious and i recommended 100 %. We order the specialty of the chef. “ Chicken Tikka” and “ Malai Tikka “,"January 6, 2020"
Accha Authentic Indian Cuisine.,No Title,,"Wonderful selection of vegetarian options, so many that I asked the waiter to choose for me. I was very pleased with his choice! Within moments of seating we had our drinks and a complimentry tasting selections of chutneys.","January 2, 2020"
Accha Authentic Indian Cuisine.,No Title,,"Aloha! We had the veg samosas (fantastic, wonderful crust) served with 6 types of chutney - yum! The naan was also really great. The paneer tikka masala was a bit different than what I am used to, a little spicier and earthy than normal, but the paneer itself was excellent. Very nice ambience and decor. About 400 baht for the two of us, and definitely worth it.","December 26, 2019"
Accha Authentic Indian Cuisine.,No Title,,"We loved the ambience food and service.. we sat outside and order their vegetarian platter, chicken curry and panner curry.. there was lot of food..","December 19, 2019"
Accha Authentic Indian Cuisine.,No Title,,"The food is so flavorful and delicious. Definitely worth it! Large portions, great environment, and stunningly delicious.","November 18, 2019"
Accha Authentic Indian Cuisine.,No Title,,"My wife and I celebrated our wedding anniversary at Aacha recently, during our visit to Chiang Mai, and it turned out to be an excellent choice. The food was superb, with all the authentic flavours and aromas one would expect from a top-tier Indian restaurant. I found the missi (chickpea flour) roti to be a healthy alternative to normal naans and rotis. Service was brilliant and the place quite comfortable, with ample space between tables. We enjoyed the experience so much that we went there again 2 days later. More visits are definitely planned.","October 7, 2019"
Accha Authentic Indian Cuisine.,No Title,,"A pricey, but delicious dinner. The butter chicken was very well prepared. Two entree dishes plus naan (no drinks) cost 450 baht, with is a lot to spend for dinner in Thailand. Clean bathrooms behind the restaurant. Cordial staff. We’d go back if we win the lottery.","September 26, 2019"
Accha Authentic Indian Cuisine.,No Title,,Believe the only Indian restaurant in Chiang Rai. I watched as my lunch was freshly prepared and very good it was too. Had Paneer Tikka and Aloo Gobi. Need to return to taste more items on their menu.,"September 13, 2019"
Accha Authentic Indian Cuisine.,No Title,,One of the best restaurants I have been to in my two week stay in Thailand. The food is very authentic and sooo delicious!! The owners are from India so you know you’re getting the real deal. The ambiance is also wonderful! Went last night and going back again tonight :) Can’t get enough.,"September 1, 2019"
Accha Authentic Indian Cuisine.,No Title,,"I absolutely love Indian food! And have had lots of traditional from Indian friends and while in India. This place has the most authentic that I have found in Chiangmai. I especially love their butter chicken, garlic naan, chicken tikka , and veg samosas. Also, don't forget to order a traditional chai tea before leaving!","August 14, 2019"
Accha Authentic Indian Cuisine.,No Title,,"I was here for an early dinner, as starter onion bhajee, which was a big portion, and for main i had massala tikka with garlic naan. The food tasted great! There was a big group present, but when they left i could enjoy the music and peace ;) Prices are reasonable.","May 27, 2019"
Accha Authentic Indian Cuisine.,No Title,,"Nice, clean restaurant. Large selection of Indian dishes. Open from 11am-10pm. There are some outdoor seats as well.","May 20, 2019"
Accha Authentic Indian Cuisine.,No Title,,"For a change for spicy Thai food we went to the Accha for Indian spicy food. All I can say visit - each dish we had was excellent, full of flavour and subtle heat. Would recommend the poppadoms (cornets) to start with, look great and taste even better and the Rogan Josh (should be lamb). Limited parking and would suggest to book in advance (Thursday - Saturday)","May 19, 2019"
Accha Authentic Indian Cuisine.,No Title,,"We were very pleased with our meal, we tried a number of dishes for the first time and each one was yummy. We'll definitely be back!","May 14, 2019"
Accha Authentic Indian Cuisine.,No Title,,"Cute and clean restaurant, good stuff, no overpriced! They have a big menu.....the food is decent but no exceptional, the dishes comes fast to our table....but in my opinion it needs more flavour! We ordered tree differents dishes and they are the same! Is really hot inside, only one AC for the whole place!","April 21, 2019"
Accha Authentic Indian Cuisine.,No Title,,"Came here based on the reviews and would fully endorse all of the good comments made. Exceptional food of a high standard, great wine and huge portions. Do try the onion bhajis.","April 12, 2019"
Accha Authentic Indian Cuisine.,No Title,,"This restaurant has got good vibes and really nice aroma that sets your mood. Table service is prompt and attentive. I terms of food, I find it okie sort as it has set my expectations really high but never mind, it was a good experience. I think this is one of the better Indian restaurants as compared to others. I have tried almost all of them in CM. Ordered non veg and drinks. Have separate bar too.","March 23, 2019"
Accha Authentic Indian Cuisine.,No Title,,"Nice food and ambience, have decent options for vegetarians, reasonable price, delivery available,walkable distance from main roads","March 16, 2019"
Accha Authentic Indian Cuisine.,No Title,,After going to an Accha in Chiang Rai we had to try the one in Nimman as it was where we lived. It didnt disappoint. The food was stunning so flavour some and the chicken so tender. It was all perfect and the nan so much better than the crap we used to get in Spain. The service could do with a bit of improvement. We sat with our dirty plates for ages and we wanted another drink and the brought them but left all the plates! Weird. Didnt ruin the experience as used to the relaxed nature of the area. Portions are plenty and certainly enough for one person with a side. Recommend the chicken kebabs similar to a shashlik. It comes out a different times so go with the flow it's how they serve. Read less,"March 12, 2019"
Accha Authentic Indian Cuisine.,No Title,,"I loved the food here and the service was attentive, friendly and fast. I came for a late dinner and a glass of wine - the house red was chilled and delicious, I recommend it. The menu is huge, with vegan and vegetarian options clearly marked. The restaurant is lovely and colourful and the venue has both indoor and outdoor dining areas, both with a great atmosphere. They delivered me a range of 6 different chutneys to enjoy with my meal and a little bell to get their attention for ordering or when requesting anything like the bill. My meal didn't take long to get to me after ordering. I would love to return here one day. Read less","March 1, 2019"
Accha Authentic Indian Cuisine.,No Title,,"Went there with friends a few days ago. Conversation was nice, which was great considering we waited 1h40 to get food on the table. The food was then eaten in less than 20 minutes ; after what we proceeded to pay and leave to get real dinner. The portion size is ridiculous. 320 thb for a lamb combo = 3 nut sized pieces of meat. All of this could be excused or pass as fine dining if the taste was great. It was not. The sauces are bland as a frozen sauce, the lamb recipes didn't taste like lamb. Only thing worth saving is the naans, which were tasty. But I'm not in the market for 320 THB naans Read less","February 25, 2019"
Accha Authentic Indian Cuisine.,No Title,,"visited 2 times for dinner, both times i left extremely impressed Food was very good and tasty interiors are very nice staff is very courteous","February 20, 2019"
Accha Authentic Indian Cuisine.,No Title,,Waited over an hour to receive any food (a tomato soup for my child). Asked twice and was told it's nearly ready and they were especially busy. Third time I asked the manager (I think) explained they'd made a mistake with our order. When the food finally arrived it tasted decent but my overall experience was ruined by the poor service.,"February 5, 2019"
Accha Authentic Indian Cuisine.,No Title,,"... and I lived 4 years in India, the garlic naan could be a little bit thinner nit so puffy, but it still was good. The paneer tikka masala was a bit to dry, could be mire gravy and a little bit more spicy, but again, it was good. Also the Paneer! The vegetable Jalfrezi was also good, almost authentic. The Restaurant itself is really comfy also to sit outside feels very relaxing.The stuff is attentive and nice. All in all, I would come back and try a different dish. Only the Pappadam was missing , but you get some peanuts , also nice 👍😎","February 5, 2019"
Accha Authentic Indian Cuisine.,No Title,,"The food is of a good quality and it’s easy to get vegan dishes without modification. The food is less hot than I expect with Indian food, but it has a lot of spice and flavor.","January 8, 2019"
Accha Authentic Indian Cuisine.,No Title,,"We come here once a month because it is very authentic and very rich. Service is usually very good if occasionally slow. If you eat outside, which is nice when the weather is so great, it’s a lot for the servers as they are stationed inside. The little bell provided helps with that! Recommend the chicken and lamb vindaloo, with the rice palau or a fluffy naan. They are so big they are meant for sharing. Chefs are spot on and really care. Try the onion bhaji with mango chutney or other spicy sauce provided. Lovely location and property. Must try! Read less","January 2, 2019"
Accha Authentic Indian Cuisine.,No Title,,"We booked in here for NYE as we thought it would be a treat. We were quite disappointed. The food tasted OK but there was no spice at all in the curries and they were a little bit bland. We ordered one of the combo sets which came with rice and a naan. The naan was large but the curry and rice portions were around half the size of a typical curry, something we wished we knew before ordering. We ordered an extra curry and rice from the standard menu which were larger but still didn’t feel full after eating. My partner also had to wait a long time for a bottle of beer (only arrived after starters) while my red wine was served freezing cold, something I now expect in Thailand but hoped might be different in a more expensive restaurant. I wouldn’t return here. Read less","January 2, 2019"
